Problem,Category,Confidence Score
"Anschalteknopf defekt. Man muss sehr stark drücken, damit der Staubsauger angeht.",Missing Parts,0.14985762536525726
druckt Streiefn.,Physical/Structural Damage,0.2913993000984192
"Probleme mit Kassettenteil. Kassette spielt mit ungleichmäßiger Geschwindigkeit, Gerät geöffnet, Mechanik gereinigt, Gummiriemen geprüft, gummiertes Übertragungsrad gefunden, welches verhärtet ist, dieses in Wasser eingeweicht, Funktion besser, Reparatur unterbrochen, Besitzer sucht nach Ersatzteilen und kommt wieder.",Speed Control Problems,0.10428530722856522
"Griff, der das Gerät an und wieder ausmacht, ist gebrochen und kann mitt Spezial-Plastikkleber geklebt werden, lockere Teile werden angeschraubt.",Missing Parts,0.2523720860481262
"geht nicht an, BEDIENFEHLER.",Incorrect Assembly,0.16039955615997314
Stop/Play Knopf klemmt.,Excessive Noise/Vibration,0.08991067856550217
"Die Schraube, welche das Sägeblatt arretiert ist abgebrochen. Mit Ausdrehwerkzeug entfernt.",Missing Parts,0.2469845861196518
"Der Netzschalter ist ausgenuddelt, rastet nicht mehr. Ähnlichen neuen Netzschalter eingebaut. Ausschnitt musste ein bisschen erweitert werden.",Missing Parts,0.28140315413475037
"Win 10 Update hängt bei 98%. Wir haben den Windows Temp Ordner und in ""Software Distrubution"" ganz und teilweise gelöscht. Danach startet der Rechner die Selbstdiagnose.",Software/Firmware Issues,0.14942613244056702
Sporadische Ton-Aussetzer Ton in Gruppe A und B. Fortsetzung aus Emmers vor einem Monat. Wir haben die Lautsprecher Ausgänge der Gruppe A direkt mit dem Ausgang der Endstufe verbunden. Ok.,Loose Connections,0.06731489300727844
"heizt nicht mehr,",Wear and Tear/End of Life,0.20544329285621643
geht nicht an.,Incorrect Assembly,0.27113378047943115
"Drücker links oben gibt keinen Kontakt. - Taster von der Platine abgerissen, Reparatur bei uns nicht möglich, - Fachwerkstatt empfohlen.",Missing Parts,0.2599166929721832
Ladebuchse Micro-USB abgebrochen. - lose Ladebuchse wieder angelötet.,Missing Parts,0.1670607030391693
keine Funktion. - Es waren Akkus eingesetzt und einer davon kaputt. - wir haben 2 neue Batterien eingesetzt und die Kamera ging wieder.,Missing Parts,0.2902557849884033
keine Spannung. - Schalter kein Kontakt - Schalter gereinigt.,Unknown/Unspecified Problem,0.09977547079324722
Schlitten hält nicht unten. - Elektromagnet gereinigt.,Missing Parts,0.13524553179740906
Lautsprecher defekt. Audioausgang funktioniert noch.,Audio/Sound Problems,0.31310558319091797
Play läuft nicht. Kondensatoren müssen getauscht werden.,Unsafe to Use,0.4561626613140106
"Läuft nicht, Falsch zusammengebaut.",Incorrect Assembly,0.2804098427295685
usb-Anschluß getauscht.,Incorrect Assembly,0.17098833620548248
"Geht nicht mehr an Stromleitungen geprüft, Fehler auf PLatine mit Controller und Netzteil eingegrenzt. Zeit zu knaoo um weiter zu suchen.",Missing Parts,0.21250692009925842
"Lange nicht in Benutzung, funktioniert. Besucherin fragt nach Zerlegung, Reinigung und Schmierung. Maschine als sauber bewertet und vorerst nur Schmierung nach Bedienungsanleitung vorgeschlagen und durchgeführt.",Unknown/Unspecified Problem,0.12841098010540009
"Leuchtet nicht mehr, Leuchtmittel okay Kontakt in Fassung verbogen. Gerichtet, an Steckdose getestet, funktioniert wieder.",Missing Parts,0.30440402030944824
Einstellung.,Aesthetic Issues,0.05885840952396393
Funktionsüberprüfung.,Lubrication/Maintenance Needed,0.08178654313087463
Anschaltknopf hat keine Funktion.,Unsafe to Use,0.10054950416088104
Treibriemen defekt.,Incorrect Assembly,0.09204030781984329
Treibriemen defekt.,Incorrect Assembly,0.09204030781984329
Schalter defekt.,Cooling Problems,0.08248106390237808
keine Funktion.,Unknown/Unspecified Problem,0.07817072421312332
schaltet sich von selbst ab.,Incorrect Assembly,0.10230648517608643
Lädt nicht mehr.,Wear and Tear/End of Life,0.1944313645362854
Lässt sich nicht mehr einschalten.,Unsafe to Use,0.17811672389507294
Ladebuchse defekt.,Unsafe to Use,0.09424164891242981
"Kabel defekt, CDs werden nicht gelesen.",Unsafe to Use,0.1958175003528595
Kein Ton oder zu leise.,Other Issue,0.11113869398832321
Teleskopschere hat keine Funktion.,Missing Parts,0.08547848463058472
Software Fehler.,Software/Firmware Issues,0.10295930504798889
Lässt sich nicht mehr einschalten.,Unsafe to Use,0.17811672389507294
Funktion überprüfen.,Lubrication/Maintenance Needed,0.09265611320734024
Einstellungen.,Aesthetic Issues,0.07853572070598602
Kurzschluss?,Unknown/Unspecified Problem,0.11324358731508255
bringt keine Leistung mehr.,Unknown/Unspecified Problem,0.09434439986944199
Funktionsüberprüfung.,Lubrication/Maintenance Needed,0.08178654313087463
Akku zu schnell leer.,Excessive Noise/Vibration,0.1575191617012024
Tastatur klemmt.,Missing Parts,0.06618107855319977
Wackelkontakt.,Remote Control or Signal Transmission Issue,0.1553703397512436
Faden reißt ständig.,Dispensing/Filling Issues,0.06792604178190231
Bitte Einstellungen erklären.,Lubrication/Maintenance Needed,0.07229437679052353
Stecker neu montieren.,Lubrication/Maintenance Needed,0.17006513476371765
Lässt sich nicht aufziehen.,Unknown/Unspecified Problem,0.28734901547431946
Deckelgriff abgebrochen.,Incorrect Assembly,0.11860840767621994
Kein Wecksignal mehr.,Incorrect Assembly,0.16099590063095093
Batteriewechsel schiefgegangen.,Battery/Charging Issues,0.1448790729045868
Hilfe bei Bedienung.,Lubrication/Maintenance Needed,0.0649423748254776
Keine Funktion mehr.,Missing Parts,0.08774439245462418
"Heizt, aber ohne Dampf.",Unknown/Unspecified Problem,0.2620779573917389
Keine Reaktion mehr.,Excessive Noise/Vibration,0.14757311344146729
Teil abgebrochen.,Physical/Structural Damage,0.0944051593542099
Feder herausgesprungen.,Speed Control Problems,0.06262286007404327
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
Beratungsbedarf.,Physical/Structural Damage,0.06816520541906357
Unterfaden läuft nicht.,Unknown/Unspecified Problem,0.18918946385383606
"Akku voll, aber keine Funktion.",Unknown/Unspecified Problem,0.15669941902160645
"Zuerst Unterbrechungen, jetzt keine Funktion mehr.",Unsafe to Use,0.1853756457567215
Kippschalter defekt.,Physical/Structural Damage,0.08344952017068863
Sticheinstellung.,Remote Control or Signal Transmission Issue,0.0696631669998169
Handgriff lose.,Wear and Tear/End of Life,0.07086814939975739
lässt sich. nicht mehr bedienen.,Unknown/Unspecified Problem,0.10648278892040253
Schalter defekt.,Cooling Problems,0.08248106390237808
Einstellungen.,Aesthetic Issues,0.07853572070598602
Dreht nicht mehr.,Wear and Tear/End of Life,0.08903837203979492
"FI-Schutz löst aus. Heizung hat Feinschluss, Reparatur nicht möglich.",Unsafe to Use,0.10453453660011292
"Stoffmitnahme unten funkriioniert nicht, Spulenwickel funktioniert auch nicht. Stoffmitnahme um 1mm höher gestellt, Die Blockierung des Schiffchen konnte nicht beseitigt werden. Folgetermin evtl. notwendig.",Missing Parts,0.24241922795772552
"Bluescreen Wir haben einen Memtest von einem USB Stick gestartet. Wenn der Laptop mit dem Netzteil berieben wird, tretten Fehler bei Test 6 auf. Im Akkubetrieb treten über 30000 Speicherfehler auf. Leider ist der Arbeisspeicher auf dem Mainboard verlötet. Der Gast sucht nach einer Reperaturwerkstatt die den Speicher tauschen kann. durch uns nicht reparierbar.",Display/Screen Issues,0.150700643658638
"Gerät wird am Laptop betrieben, wird beim Ansteckern erkannt, Sound kommt vom Laptop, werden extern am Gerät gemischt, Spuren A und B lassen sich nicht bedienen, Mainregler arbeitet wie gewohnt. Zusammen mit dem Gast haben wir das Gerät zerlegt. Diagnose wurde durchgeführt: Versorgungsspannung. Analyse der Gerätearchitektur und Fehlerbild lenkt die Aufmerksamkeit auf AD-Wandler. Diese nehmen das Stellsignal der Potentiometer auf und geben es an den Prozessor weiter. Der Datenbus (SPI) dieser AD-Wandler wurde durch Prüfung mittels Oszilloskop als nicht integer diagnostiziert. Die Signalflanken sind verschliffen. Datenfehler die Folge. Der Gast überlegt, ob Reparatur fortgesetzt wird. Fortsetzung offen - Gast entscheidet.",Audio/Sound Problems,0.29253116250038147
"Akku wird in Ladestation nicht geladen. Vermutlich Unterbrechung an RJ12-Stecker vom Netzteil, Fortsetzung vorgesehen.",Unsafe to Use,0.2502132058143616
"Aussetzer beim Abspielen der CDs. kein Fehler feststellbar, trotzdem Linse gereinigt, Gerät funktioniert.",Audio/Sound Problems,0.10116326063871384
"kein BT-Empfang. Li-Ion-Akku tiefentladen, Der Kopfhöhrer wurde ca. ein Jahr nicht benutzt. Akku wieder reanimiert und Kopfhöhrer funktioniert wieder. Der Eigentümer wurde auf die Besonderheiten mit Li-ION-Akkus hingewiesen. Die Ladefunktion des Kopfhörers funktioniert leider nicht. Folgetermin evt. notwendig.",Missing Parts,0.07461901009082794
"Der Besitzer hat den Sodastream zum Reinigen auseinandergebaut und bekommt es jetzt nicht wieder zusammengebaut. Gemeinsam mit dem Besitzer haben wir den Sodastrem wieder zuammengepuzzelt, nun funktioniert er wieder.",Missing Parts,0.38920921087265015
"wird zu heiß, Lüfter vermutlich fest. Das Lüfterrad ist lose, wir haben es mit Epoxidharz angeklebt und der Gast testet das Gerät morgen, wenn der Kleber ausgehärtet ist.",Missing Parts,0.1306992918252945
Glühdraht durchgebrannt. Neu kontaktiert.,Incorrect Assembly,0.06812639534473419
Leiterplatte beschädigt. Draht eingelötet.,Physical/Structural Damage,0.18606598675251007
Diode defekt. Neue Diode eingelötet.,Unsafe to Use,0.08989639580249786
Kassetten nicht mehr abgespielt. Gummiband erneuert.,Missing Parts,0.17215128242969513
Taster defekt. Kunstoff geflickt.,Incorrect Assembly,0.08709488064050674
Touch-Schalter defekt. Ausgebaut und normalen Schalter eingebaut.,Missing Parts,0.19216124713420868
"Defekt gebracht, bei uns hat er aber wieder funktioniert.",Incorrect Assembly,0.09132637083530426
"Defekt vorbeigebracht, hat aber bei uns funktioniert.",Unknown/Unspecified Problem,0.19354893267154694
"Kabel angeschnitten, haben es gekürzt und wieder angeschlossen.",Incorrect Assembly,0.15960700809955597
"1,6 Kg, lässt sich nicht mehr einschalten. Hebel springt immer wieder raus.",Missing Parts,0.0709020122885704
"Objektiv fährt nicht aus, es mach ein lautes Geräusch. - Getriebeschaden - es fehlen einige Zähne.",Missing Parts,0.5231925845146179
"1,5 Kg, Tonband funktioniert nicht.",Audio/Sound Problems,0.12734459340572357
"3 kg, verliert Wasser. undicht, lässt sich nicht überprüfen.",Liquid/Water Damage,0.2466714084148407
"0,5 Kg, Schalter startet nicht mehr. Motor defekt.",Motor/Drive Issues,0.1724095195531845
"5 KG, CD Fach öffnet sich nicht mehr. keine Angaben.",Missing Parts,0.24415643513202667
"2 KG, bleibt stehen. Pendel wird zu schnell gebremst.",Incorrect Assembly,0.058856476098299026
"2 Kg, nimmt kein Papier mehr auf. keine Angabe.",Incorrect Assembly,0.2723033130168915
"0,5 kg, keine Angaben.",Unknown/Unspecified Problem,0.4165591597557068
"3 Kg, macht keinen Kaffe mehr.",Incorrect Assembly,0.13127857446670532
"1 kg, läuft nicht Feuchtigkeit auf Platine.",Incorrect Assembly,0.10431882739067078
"0,5 Kg, bei Stufe 2 unbekannte Geräusche.",Unknown/Unspecified Problem,0.2579198181629181
"1,5 Kg, hat angefangen zu rauchen nach dem einschalten.",Incorrect Assembly,0.09510454535484314
unbekannt.,Unknown/Unspecified Problem,0.20611360669136047
"2,6 Kg, kein Antrieb.",Incorrect Assembly,0.09840165078639984
"1,5 Kg, es kommt kein Bild.",Unknown/Unspecified Problem,0.17829592525959015
"2 kg, kein Bild, bleibt dunkel.",Incorrect Assembly,0.12111445516347885
"8 kg, Drehteller läuft nicht mehr.",Missing Parts,0.2846544682979584
"2 Kg, Heizeinheit funktioniert nicht.",Missing Parts,0.09937793016433716
"12 Kg, Rasenmäher geht an, aber nach kurzer Zeit wieder aus.",Wear and Tear/End of Life,0.1650729477405548
"5 Kg,",Loose Connections,0.07840321213006973
"5,2 kg, Drähte müssten gelötet werden.",Lubrication/Maintenance Needed,0.18200021982192993
"2 Kg, Maschine läuft trotz Entkalkung nur mässig heiß.",Missing Parts,0.17658980190753937
"3 Kg, bricht das Saugen ab.",Wear and Tear/End of Life,0.11970401555299759
"1 Kg, dreht sich nicht mehr nach rechts und links.",Missing Parts,0.396211713552475
"1 Kg, Kabel defekt, neues Kabel mitgebracht.",Missing Parts,0.2426338791847229
"1 Kg, Papierschneidemaschine , franst das Papier bim schneiden aus.",Missing Parts,0.09621473401784897
"3,5 Kg, defekt.",Incorrect Assembly,0.1049245148897171
"8 Kg, zieht Fäden.",Missing Parts,0.09577041119337082
"5,4 Kg,evtl. Kurzschluss.",Incorrect Assembly,0.1320011168718338
verdreckte Lasertoner hinterlassen Schlieren auf Druckerzeugnissen.,Missing Parts,0.16024820506572723
schaltet sich zu früh/kalt ab.,Incorrect Assembly,0.09037020802497864
schaltet sich zu früh ab.,Wear and Tear/End of Life,0.09947407990694046
"handschrift unleserlich, fehler deshalb unbekannt.",Unsafe to Use,0.39065104722976685
schaltet sich nicht ab.,Incorrect Assembly,0.1751367300748825
"0,5 Kg, Ladbuchse defekt.",Unsafe to Use,0.10527894645929337
"10 Kg, Kopfhörerbuchse Ton nur noch in einem Kanal (links oder rechts, Nicht stereo)",Missing Parts,0.21335648000240326
funktioniert nicht mehr. - Verbogene Kontakte am Hauptschalter -&gt; Kurzschluss - geradegebogen.,Excessive Noise/Vibration,0.1287670135498047
"läuft an, geht dann aus, heizt nicht. - Feuchtigkeit im Gerät - Leiterplatte verschmutzt - Platine gereinigt und getrocknet.",Missing Parts,0.12156982719898224
lässt sich angeblich nicht einschalten. - ging bei uns einzuschalten - Kabel auf Bruch untersucht - Taster mit Kontaktspray behandelt.,Display/Screen Issues,0.09799964725971222
Nadel bricht ab.,Incorrect Assembly,0.1801898032426834
defekt.,Unknown/Unspecified Problem,0.1492258757352829
defekt.,Unknown/Unspecified Problem,0.1492258757352829
defekt.,Unknown/Unspecified Problem,0.1492258757352829
defekt.,Unknown/Unspecified Problem,0.1492258757352829
reagiert nicht mehr.,Unknown/Unspecified Problem,0.09052115678787231
manche Tasten ohne Funktion.,Missing Parts,0.27235567569732666
defekt nach ausgelaufener Batterie.,Missing Parts,0.2069159895181656
defekt.,Unknown/Unspecified Problem,0.1492258757352829
keine Leistung trotz laufenden Motors.,Motor/Drive Issues,0.11610492318868637
"kein guter Empfang, Antenne verlängert.",Excessive Noise/Vibration,0.09117183089256287
brummt und mahlt nicht mehr.,Wear and Tear/End of Life,0.28109949827194214
läuft nicht mehr.,Wear and Tear/End of Life,0.1635349690914154
Motorengeräusche.,Lubrication/Maintenance Needed,0.16566768288612366
Deckel aus Plastik kaputt (evtl Nachdrucken in 3D?),Incorrect Assembly,0.22874034941196442
"Hintergrundbeleuchtung defekt, 1 Leuchtstoffröhre gerissen. Ist der Austausch aller CCFL-Röhren besser oder nur der eine? gerät alt, kein HDMI, kein HD. wirtschaftlicher Totalschaden. keine Ersatzteile erhältlich.",Unknown/Unspecified Problem,0.342056006193161
"Bohrfutter eiert. kann ggf. getauscht werden, aber Ersatzteil zu teuer.",Missing Parts,0.09950705617666245
Schnappmechanismus kaputt.,Mechanical Blockage in Moving Parts,0.10263444483280182
"geht nicht mehr --- Kondensator getauscht, gebrochener Kontakt repariert, Kohlefassung repariert - läuft nicht rund, stockt gelegentlich - Kunde versucht es selbst weiter.",Missing Parts,0.20769649744033813
Lässt sich nicht mehr anstellen.,Missing Parts,0.19830183684825897
lässt sich nicht mehr einschalten.,Missing Parts,0.16696840524673462
"Das Gerät lässt sich nicht mehr aufladen. Netzteil defekt, lässt sich nicht öffnen. Neubeschaffung durch Besucher.",Missing Parts,0.18856820464134216
"geht nach Blitz im Gerät nicht mehr --- durch verkohltes Brotstück an zwei Stellen stark unterbrochen, Ersatzteil zu teuer.",Excessive Noise/Vibration,0.2166297882795334
"geht nicht mehr --- Gerät geöffnet, Kontakte überprüft, kein Fehler erkennbar.",Unknown/Unspecified Problem,0.20461909472942352
"Geht nicht mehr, bzw. nur Rauschen Kein Ton, Leiterbahn defekt Nach Reparatur der Leistungsstufe wieder Ton aber kein Empfang. Besucher besorgt Ersatzteile und Schematics.",Missing Parts,0.35044166445732117
Gerät spielt Musik extrem leise ab.,Excessive Noise/Vibration,0.18475836515426636
lässt sich nicht mehr aufladen Akkus defekt und ausgelaufen. wird bestellt + beim nächsten termin getauscht. 3xNiCd Akkus ca. 40x22mm.,Missing Parts,0.13826164603233337
Kabelverbindung funktioniert nicht/nur selten Abgebrochnen USB-Port aus USB-Kabel entfernt.,Unknown/Unspecified Problem,0.19038119912147522
"Bei Start des Toastvorgangs - Betätigung des Tasters,fällt sofort der FI (Sicherung) Elektrischer Kontakt mit dem Gehäuse isoliert.",Component Failure (Electronic),0.13435134291648865
läuft nicht mehr korrodierter kontakt auf platine wieder hergestellt.,Missing Parts,0.10894667357206345
"vermutlich akku alt, das gerät funktioniert nur wenige sekunden. neuen akku eingelötet. lädt mit 2A Netzteil, schaltet ab. evtl neuer akku tiefentladen oder defekt. testet, ob es lädt, kommt ggf wieder.",Unsafe to Use,0.08571825921535492
kasetten und dvds werden nicht mehr abgespielt. dvd laufwerksmechnik gereinigt und neu geschmiert.,Missing Parts,0.21126192808151245
"Anschluss funktioniert, Mikrofonausgabe ist stark verzerrt, starkes Rauschen. GND Kabel abgerissen, angelötet Test nicht möglich, da Kabel vergessen.",Missing Parts,0.11345688998699188
Schalter defekt. Loses Kabel fixiert.,Missing Parts,0.1538342833518982
Kabelmantel gebrochen Mit Sugru die Zugeantlastung repariert.,Missing Parts,0.12471196055412292
Wackelkontakt USB Kabel. USB Stecker Pins (zum halten) wieder zurück gebogen.,Cable/Wire Damage,0.08327385038137436
"Kabelmantel bruch, USB Kabel Mit Kaptontape isoliert und Suguru die Zugentlastung rekonstruiert.",Missing Parts,0.09509020298719406
geht nicht mehr --- Kondensator im Netzteil getauscht.,Missing Parts,0.09335015714168549
braucht Hilfe bei Zusammenbau --- mit Kunden zusammengebaut (aufrollen funktioniert nicht mehr),Missing Parts,0.16657112538814545
ein Schleifring muss gewechselt werden --- Schleifplatte gewechselt.,Missing Parts,0.12294027209281921
funktioniert nicht mehr --- Rührstab Aufnahme gesäubert und mit Silikonspray gängig gemacht.,Missing Parts,0.17269398272037506
Netzteil eines Radios funktioniert nicht mehr --- Stecker gelötet.,Missing Parts,0.23400259017944336
Schalter von Föhn klemmt --- Schalter modifiziert.,Missing Parts,0.08250119537115097
"druckt nicht mehr schwarz/weiß, Scanner geht nicht mehr ---- Papiertyp richtig eingestellt, Druckkopfreinigung durchgeführt.",Missing Parts,0.546521008014679
besorgten Stecker montieren.,Lubrication/Maintenance Needed,0.18943262100219727
an Zahnbürste muss etwas gelötet werden --- beide Drähte verlängert und angelötet.,Aesthetic Issues,0.14894171059131622
vermutlich Kurzschluss --- Sicherheitsschalter mit Kontaktspray gereinigt.,Lubrication/Maintenance Needed,0.10326075553894043
Verstärker mit Displayfehler --- kalte Lötstellen.,Display/Screen Issues,0.22336041927337646
geht nicht mehr --- am Anschlusskabel waren die Pole vertauscht.,Wear and Tear/End of Life,0.12190235406160355
"stoppt immer wieder --- gereinigt, geölt.",Missing Parts,0.07812173664569855
"Uhr bleibt immer wieder hängen --- Schrauben ausgebrochen, Kunststoffteile geklebt und mit Schrumpfschlauch unterstützt.",Missing Parts,0.2735840380191803
geht nicht mehr ---- gereinigt und geprüft.,Missing Parts,0.24573203921318054
Kabel am Stecker gebrochen --- neuer Stecker montiert.,Physical/Structural Damage,0.12576226890087128
"zieht kein Wasser mehr, Kontrolllampen blinken immer --- Leitungen entkalkt.",Missing Parts,0.08718909323215485
Einstellschalter geht nicht mehr --- beim Test alles gegangen (nichts geöffnet),Missing Parts,0.3556533753871918
"BÜRSTE DREHT SCHLECHT; DA zAHNRIEMEN SCHLEIFT: Akkuleistung unklar, muss geladen werden.",Unknown/Unspecified Problem,0.31334587931632996
"Die Sicherung fliegt raus beim Einschalten -Netzteil defekt, Besitzerin besorgt ein Neues.",Missing Parts,0.37368202209472656
Lässt sich nicht öffen und Batterie leer. Batterie wir von Kundin besorgt.,Unsafe to Use,0.308597207069397
Einschalter rastet nicht mehr ein -Stecker zwischen Stromversorgung und Steuerplatine m Gerät war herausgerutscht.,Missing Parts,0.3954527974128723
